Rvvvt		21163943	862	93	81	93	98	57	87	88	95	94	76	
Kljy		21162941	852	81	90	95	78	91	93	59	72	99	94	
Pqghu		21161478	848	83	84	85	94	94	75	98	66	82	87	
Matbdz		21161264	830	99	81	57	82	78	93	68	86	97	89	
Xfnfo		21168703	828	95	58	89	77	73	95	60	100	84	97	
Dilqa		21161323	828	62	79	70	100	76	98	94	99	62	88	
Uryjau		21166061	826	78	88	77	59	84	96	74	99	93	78	
Lgypsf		21162386	821	73	82	97	99	98	65	52	68	98	89	
Cqck		21164146	818	77	94	92	60	68	84	87	98	76	82	
Igfull		21167612	816	87	61	85	87	72	95	96	62	75	96	
Jgavyx		21161127	815	97	87	76	81	87	50	95	94	54	94	
Atdc		21167666	814	70	88	89	84	65	80	97	84	58	99	
Fnxvgz		21169676	814	73	89	98	95	51	95	91	68	59	95	
Hjvb		21163805	813	87	99	84	84	58	98	87	62	59	95	
Zeeu		21161119	812	99	96	83	51	89	84	64	90	67	89	
Qqrtcd		21162241	810	95	94	96	98	62	76	83	79	62	65	
Mczfs		21163452	809	84	70	98	98	84	58	88	77	96	56	
Ttnk		21166819	809	69	100	84	78	87	92	78	72	95	54	
Eauqgnd		21160614	808	84	81	86	86	95	82	70	86	55	83	
Wucp		21161430	808	73	88	95	61	66	93	72	90	73	97	
Mgotz		21167887	807	60	86	80	97	99	74	68	95	76	72	
Luhtfq		21167679	804	87	92	86	62	86	90	66	71	79	85	
Bcp		21165347	803	98	86	90	70	95	50	90	57	70	97	
Cnau		21161810	802	96	90	95	74	52	98	60	87	66	84	
Xyyg		21164114	801	84	54	95	100	76	58	81	84	99	70	
Illplx		21166816	801	97	70	80	96	78	71	69	62	98	80	
Dhmlt		21160502	800	87	71	83	89	92	59	89	90	67	73	
Brxt		21161185	799	60	95	97	97	85	79	62	66	75	83	
Kaugz		21168190	797	76	52	70	77	90	81	86	85	83	97	
Nji		21167950	796	73	90	83	93	94	80	65	97	71	50	
Jezk		21161098	796	88	50	98	87	97	92	82	53	89	60	
Jrzm		21161462	796	70	72	74	88	68	82	92	75	94	81	
Nuvqn		21162142	795	89	84	96	80	89	76	58	70	95	58	
Jayyzp		21169869	794	98	77	89	52	71	70	86	75	88	88	
